,home_team,away_team,time_day
0,Chelsea,Manchester City,"Jumapili, Feb 24 2019"
1,Burton,Manchester City,"Jumatano, Jan 23 2019"
2,Chelsea,Tottenham,"Alhamisi, Jan 24 2019"
3,Tottenham,Chelsea,"Jumanne, Jan 8 2019"
4,Manchester City,Burton,"Jumatano, Jan 9 2019"
5,Middlesbrough,Burton,"Jumanne, Des 18 2018"
6,Leicester,Manchester City,"Jumanne, Des 18 2018"
7,Arsenal,Tottenham,"Jumatano, Des 19 2018"
8,Chelsea,Bournemouth,"Jumatano, Des 19 2018"
9,Leicester,Southampton,"Jumanne, Nov 27 2018"
10,Bournemouth,Norwich,"Jumanne, Okt 30 2018"
11,Burton,Nottingham Forest,"Jumanne, Okt 30 2018"
12,Chelsea,Derby,"Jumatano, Okt 31 2018"
13,1Arsenal,Blackpool1,"Jumatano, Okt 31 2018"
14,West Ham,Tottenham,"Jumatano, Okt 31 2018"
15,Middlesbrough,Crystal Palace,"Jumatano, Okt 31 2018"
16,Manchester City,Fulham,"Alhamisi, Nov 1 2018"
17,Everton,Southampton,"Jumanne, Okt 2 2018"
18,Burton,Burnley,"Jumanne, Sep 25 2018"
19,Wycombe,Norwich,"Jumanne, Sep 25 2018"
20,Oxford,Manchester City,"Jumanne, Sep 25 2018"
21,Millwall,Fulham,"Jumanne, Sep 25 2018"
22,Bournemouth,Blackburn1,"Jumanne, Sep 25 2018"
23,Preston,Middlesbrough,"Jumanne, Sep 25 2018"
24,Wolverhampton Wanderers,Leicester,"Jumanne, Sep 25 2018"
25,Blackpool,Queens Park Rangers1,"Jumanne, Sep 25 2018"
26,1Manchester United,Derby,"Jumanne, Sep 25 2018"
27,West Bromwich Albion,Crystal Palace,"Jumanne, Sep 25 2018"
28,Arsenal,Brentford,"Jumatano, Sep 26 2018"
29,1Nottingham Forest,Stoke,"Jumatano, Sep 26 2018"
30,West Ham,Macclesfield,"Jumatano, Sep 26 2018"
31,Liverpool,Chelsea,"Jumatano, Sep 26 2018"
32,Tottenham,Watford1,"Jumatano, Sep 26 2018"
33,Swansea,Crystal Palace,"Jumanne, Ago 28 2018"
34,Brentford,Cheltenham,"Jumanne, Ago 28 2018"
35,Leicester,Fleetwood,"Jumanne, Ago 28 2018"
36,Leeds,Preston1,"Jumanne, Ago 28 2018"
37,Doncaster,Blackpool,"Jumanne, Ago 28 2018"
38,1Burton,Aston Villa,"Jumanne, Ago 28 2018"
39,Hull,Derby,"Jumanne, Ago 28 2018"
40,Middlesbrough,Rochdale,"Jumanne, Ago 28 2018"
41,Brighton,Southampton,"Jumanne, Ago 28 2018"
42,Queens Park Rangers,Bristol Rovers,"Jumanne, Ago 28 2018"
43,1AFC Wimbledon,West Ham,"Jumanne, Ago 28 2018"
44,Fulham,Exeter,"Jumanne, Ago 28 2018"
45,Newport,Oxford1,"Jumanne, Ago 28 2018"
46,Cardiff,Norwich,"Jumanne, Ago 28 2018"
47,Wycombe,Forest Green,"Jumanne, Ago 28 2018"
48,Bournemouth,Milton Keynes Dons,"Jumanne, Ago 28 2018"
49,Blackburn,Lincoln City,"Jumanne, Ago 28 2018"
50,Walsall,Macclesfield,"Jumanne, Ago 28 2018"
51,Sheffield Wednesday,Wolverhampton Wanderers,"Jumanne, Ago 28 2018"
52,Stoke,Huddersfield,"Jumanne, Ago 28 2018"
53,West Bromwich Albion,Mansfield,"Jumanne, Ago 28 2018"
54,Everton,Rotherham,"Jumatano, Ago 29 2018"
55,Nottingham Forest,Newcastle United,"Jumatano, Ago 29 2018"
56,Millwall,Plymouth,"Jumatano, Ago 29 2018"
57,Reading,Watford,"Jumatano, Ago 29 2018"
58,1Nottingham Forest,Bury,"Jumanne, Ago 14 2018"
59,Middlesbrough,Notts Co.,"Jumanne, Ago 14 2018"
60,Bristol Rovers,Crawley1,"Jumanne, Ago 14 2018"
61,Bristol City,Plymouth,"Jumanne, Ago 14 2018"
62,Cambridge U,Newport,"Jumanne, Ago 14 2018"
63,Queens Park Rangers,Peterborough,"Jumanne, Ago 14 2018"
64,Oxford,Coventry,"Jumanne, Ago 14 2018"
65,Tranmere,Walsall,"Jumanne, Ago 14 2018"
66,Macclesfield,Bradford,"Jumanne, Ago 14 2018"
67,Leeds,Bolton,"Jumanne, Ago 14 2018"
68,Carlisle,Blackburn,"Jumanne, Ago 14 2018"
69,Mansfield,Accrington,"Jumanne, Ago 14 2018"
70,Port Vale,Lincoln City,"Jumanne, Ago 14 2018"
71,Preston,Morecambe,"Jumanne, Ago 14 2018"
72,Oldham,Derby,"Jumanne, Ago 14 2018"
73,Shrewsbury,Burton,"Jumanne, Ago 14 2018"
74,Blackpool,Barnsley,"Jumanne, Ago 14 2018"
75,Millwall,Gillingham,"Jumanne, Ago 14 2018"
76,Portsmouth,AFC Wimbledon,"Jumanne, Ago 14 2018"
77,Cheltenham,Colchester,"Jumanne, Ago 14 2018"
