,home_team,away_team,time_day
0,Benfica,FC Basel 1893,"Jnne, 05-Des-17"
1,Manchester United,CSKA Moscow,"Jnne, 05-Des-17"
2,Bayern Munich,Paris Saint-Germain,"Jnne, 05-Des-17"
3,Celtic,Anderlecht,"Jnne, 05-Des-17"
4,Barcelona,Sporting CP,"Jnne, 05-Des-17"
5,Olympiacos,Juventus,"Jnne, 05-Des-17"
6,Chelsea,Atletico Madrid,"Jnne, 05-Des-17"
7,Roma,Qarabag FK,"Jnne, 05-Des-17"
8,RB Leipzig,Besiktas,"Jtan, 06-Des-17"
9,FC Porto,Monaco,"Jtan, 06-Des-17"
10,Feyenoord,Napoli,"Jtan, 06-Des-17"
11,Shakhtar Donetsk,Manchester City,"Jtan, 06-Des-17"
12,Real Madrid,Borussia Dortmund,"Jtan, 06-Des-17"
13,Tottenham,APOEL Nicosia,"Jtan, 06-Des-17"
14,Maribor,Sevilla,"Jtan, 06-Des-17"
15,Liverpool,Spartak Moscow,"Jtan, 06-Des-17"
16,Besiktas,FC Porto,"Jnne, 21-Nov-17"
17,Spartak Moscow,Maribor,"Jnne, 21-Nov-17"
18,Sevilla,Liverpool,"Jnne, 21-Nov-17"
19,Monaco,RB Leipzig,"Jnne, 21-Nov-17"
20,Manchester City,Feyenoord,"Jnne, 21-Nov-17"
21,Napoli,Shakhtar Donetsk,"Jnne, 21-Nov-17"
22,APOEL Nicosia,Real Madrid,"Jnne, 21-Nov-17"
23,Borussia Dortmund,Tottenham,"Jnne, 21-Nov-17"
24,CSKA Moscow,Benfica,"Jtan, 22-Nov-17"
25,Qarabag FK,Chelsea,"Jtan, 22-Nov-17"
26,Atletico Madrid,Roma,"Jtan, 22-Nov-17"
27,FC Basel 1893,Manchester United,"Jtan, 22-Nov-17"
28,Anderlecht,Bayern Munich,"Jtan, 22-Nov-17"
29,Paris Saint-Germain,Celtic,"Jtan, 22-Nov-17"
30,Juventus,Barcelona,"Jtan, 22-Nov-17"
31,Sporting CP,Olympiacos,"Jtan, 22-Nov-17"
32,FC Basel 1893,CSKA Moscow,"Jnne, 31-Okt-17"
33,Manchester United,Benfica,"Jnne, 31-Okt-17"
34,Paris Saint-Germain,Anderlecht,"Jnne, 31-Okt-17"
35,Celtic,Bayern Munich,"Jnne, 31-Okt-17"
36,Sporting CP,Juventus,"Jnne, 31-Okt-17"
37,Olympiacos,Barcelona,"Jnne, 31-Okt-17"
38,Atletico Madrid,Qarabag FK,"Jnne, 31-Okt-17"
39,Roma,Chelsea,"Jnne, 31-Okt-17"
40,Besiktas,Monaco,"Jtan, 01-Nov-17"
41,FC Porto,RB Leipzig,"Jtan, 01-Nov-17"
42,Napoli,Manchester City,"Jtan, 01-Nov-17"
43,Shakhtar Donetsk,Feyenoord,"Jtan, 01-Nov-17"
44,Borussia Dortmund,APOEL Nicosia,"Jtan, 01-Nov-17"
45,Tottenham,Real Madrid,"Jtan, 01-Nov-17"
46,Sevilla,Spartak Moscow,"Jtan, 01-Nov-17"
47,Liverpool,Maribor,"Jtan, 01-Nov-17"
48,Monaco,Besiktas,"Jnne, 17-Okt-17"
49,RB Leipzig,FC Porto,"Jnne, 17-Okt-17"
50,Manchester City,Napoli,"Jnne, 17-Okt-17"
