,home_team,away_team,home_score,away_score,start_time,time_day,home_open_play,away_open_play,home_setpiece,away_setpiece,home_counterattack,away_counterattack,home_penalty,away_penalty,home_cross,away_cross,home_longball,away_longball,home_throughball,away_throughball,home_stortball,away_stortball,home_form,away_form,home_player,away_player
0,Manchester United,Bournemouth,3,1,20:00,"Jnne, 17-Mei-16",10,5,2,1,0,1,0,0,12,4,2,0,71,67,608,281,4-1-4-1,4-4-2,"['Romero', '6.35', 'Borthwick-Jackson', '6.70', 'Blind', '7.14', 'McNair', '6.23', 'Fosu-Mensah', '6.70', 'Schneiderlin', '6.92', 'Depay', '6.38', 'Mata', '6.80', 'Herrera', '6.77', 'Lingard', '6.71', 'Rashford', '6.94']","['Federici', '5.98', 'Daniels', '6.90', 'Cook', '7.03', 'Elphick', '6.61', 'Francis', '7.16', 'Pugh', '6.60', 'Arter', '6.80', 'Surman', '6.79', 'Ritchie', '6.77', 'King', '6.71', 'Wilson', '6.53']"
1,West Ham,Manchester United,3,2,20:30,"Jnne, 10-Mei-16",8,3,12,0,0,0,0,0,21,12,2,1,66,74,258,406,4-2-3-1,4-1-4-1,"['Randolph', '6.24', 'Cresswell', '6.81', 'Ogbonna', '6.86', 'Reid', '7.18', 'Tomkins', '6.89', 'Noble', '7.15', 'Kouyaté', '7.26', 'Payet', '7.74', 'Lanzini', '7.21', 'Antonio', '7.35', 'Carroll', '6.92']","['Gea', '6.66', 'Rojo', '6.93', 'Blind', '7.14', 'Smalling', '7.17', 'Valencia', '7.05', 'Schneiderlin', '6.92', 'Lingard', '6.71', 'Herrera', '6.77', 'Rooney', '7.06', 'Mata', '6.80', 'Rashford', '6.94']"
2,Sunderland,Everton,3,0,19:45,"Jtan, 11-Mei-16",7,11,6,6,1,0,0,0,17,17,2,2,63,81,291,515,4-1-4-1,4-2-3-1,"['Mannone', '6.97', 'Aanholt', '7.11', 'Kaboul', '7.18', 'Koné', '7.27', 'Yedlin', '6.84', 'Kirchhoff', '7.08', 'Khazri', '6.98', ""M'Vila"", '7.10', 'Cattermole', '6.59', 'Borini', '6.70', 'Defoe', '6.79']","['Howard', '6.78', 'Baines', '6.86', 'Pennington', '6.75', 'Stones', '6.85', 'Oviedo', '6.87', 'Cleverley', '6.87', 'McCarthy', '6.88', 'Mirallas', '6.63', 'Barkley', '7.31', 'Lennon', '6.73', 'Lukaku', '7.16']"
3,Norwich,Watford,4,2,19:45,"Jtan, 11-Mei-16",14,11,4,1,0,0,0,0,20,13,4,2,83,83,425,325,4-4-1-1,4-4-2,"['Ruddy', '6.44', 'Olsson', '6.48', 'Bassong', '6.75', 'Martin', '6.61', 'Pinto', '6.50', 'Brady', '7.15', 'Dorrans', '6.46', ""O'Neil"", '6.42', 'Redmond', '6.75', 'Hoolahan', '6.71', 'Mbokani', '6.81']","['Gomes', '7.07', 'Anya', '6.50', 'Britos', '6.80', 'Prödl', '6.82', 'Nyom', '6.76', 'Jurado', '6.76', 'Suárez', '6.38', 'Watson', '6.94', 'Amrabat', '6.18', 'Ighalo', '6.95', 'Deeney', '7.28']"
4,Liverpool,Chelsea,1,1,20:00,"Jtan, 11-Mei-16",20,11,8,2,0,0,0,0,20,8,2,2,58,70,491,383,4-2-3-1,4-2-3-1,"['Mignolet', '6.52', 'Moreno', '7.05', 'Lovren', '6.97', 'Skrtel', '6.93', 'Clyne', '6.79', 'Milner', '7.21', 'Can', '7.05', 'Coutinho', '7.29', 'Firmino', '7.19', 'Lallana', '7.08', 'Sturridge', '7.12']","['Courtois', '6.66', 'Rahman', '6.75', 'Miazga', '6.35', 'Cahill', '6.81', 'Azpilicueta', '7.03', 'Matic', '6.98', 'Mikel', '6.68', 'Hazard', '7.11', 'Fàbregas', '7.14', 'Willian', '7.20', 'Traoré', '6.77']"
5,Arsenal,Aston Villa,4,0,15:00,"Jpl, 15-Mei-16",14,4,2,1,0,0,0,0,21,12,12,0,30,55,572,363,4-2-3-1,3-5-2,"['Cech', '6.94', 'Monreal', '7.26', 'Koscielny', '7.48', 'Paulista', '7.23', 'Bellerín', '7.19', 'Elneny', '6.75', 'Ramsey', '7.21', 'Iwobi', '6.78', 'Özil', '7.66', 'Sánchez', '7.72', 'Giroud', '7.07']","['Bunn', '6.40', 'Clark', '6.87', 'Lescott', '6.75', 'Bacuna', '6.63', 'Cissokho', '6.46', 'Westwood', '6.69', 'Sánchez', '6.74', 'Gueye', '7.25', 'Hutton', '6.45', 'Ayew', '6.88', 'Gestede', '6.83']"
6,Chelsea,Leicester,1,1,15:00,"Jpl, 15-Mei-16",14,16,2,2,0,0,1,0,17,19,0,0,60,58,480,391,4-2-3-1,4-4-2,"['Courtois', '6.66', 'Rahman', '6.75', 'Mikel', '6.68', 'Cahill', '6.81', 'Azpilicueta', '7.03', 'Matic', '6.98', 'Fàbregas', '7.14', 'Hazard', '7.11', 'Willian', '7.20', 'Pedro', '7.03', 'Traoré', '6.77']","['Schmeichel', '6.78', 'Fuchs', '7.50', 'Wasilewski', '6.74', 'Morgan', '7.07', 'Simpson', '7.13', 'Albrighton', '7.05', 'Kanté', '7.61', 'Drinkwater', '7.30', 'Mahrez', '7.84', 'Okazaki', '6.61', 'Vardy', '7.51']"
7,Everton,Norwich,3,0,15:00,"Jpl, 15-Mei-16",12,6,2,5,0,0,1,0,19,35,0,0,74,72,313,380,4-2-3-1,4-2-3-1,"['Howard', '6.78', 'Baines', '6.86', 'Mori', '7.18', 'Stones', '6.85', 'Pennington', '6.75', 'Besic', '6.76', 'McCarthy', '6.88', 'Cleverley', '6.87', 'Barkley', '7.31', 'Lennon', '6.73', 'Lukaku', '7.16']","['Ruddy', '6.44', 'Olsson', '6.48', 'Bennett', '6.76', 'Martin', '6.61', 'Pinto', '6.50', ""O'Neil"", '6.42', 'Dorrans', '6.46', 'Hoolahan', '6.71', 'Naismith', '6.61', 'Redmond', '6.75', 'Mbokani', '6.81']"
8,Newcastle United,Tottenham,5,1,15:00,"Jpl, 15-Mei-16",13,13,3,5,2,0,1,0,12,28,0,1,57,42,297,512,4-2-3-1,4-2-3-1,"['Darlow', '7.08', 'Dummett', '6.89', 'Mbemba', '6.98', 'Lascelles', '6.61', 'Anita', '6.71', 'Colback', '6.90', 'Tioté', '6.87', 'Wijnaldum', '6.91', 'Sissoko', '7.04', 'Townsend', '7.35', 'Cissé', '6.33']","['Lloris', '6.75', 'Rose', '7.25', 'Vertonghen', '7.06', 'Alderweireld', '7.16', 'Walker', '7.19', 'Eriksen', '7.45', 'Dier', '7.06', 'Chadli', '6.39', 'Heung-Min', '6.53', 'Lamela', '7.15', 'Kane', '7.53']"
9,Southampton,Crystal Palace,4,1,15:00,"Jpl, 15-Mei-16",15,12,3,4,0,0,1,0,26,22,0,0,52,72,345,331,4-2-3-1,4-2-3-1,"['Forster', '6.75', 'Bertrand', '6.92', 'Dijk', '7.56', 'Fonte', '7.03', 'Martina', '6.81', 'Romeu', '6.80', 'Wanyama', '7.02', 'Tadic', '7.07', 'Davis', '7.04', 'Mané', '7.14', 'Long', '7.02']","['Hennessey', '6.48', 'Souaré', '6.69', 'Delaney', '6.89', 'Dann', '7.05', 'Ward', '6.94', 'McArthur', '6.85', 'Mutch', '6.34', 'Gayle', '6.48', 'Puncheon', '6.98', 'Bolasie', '7.14', 'Wickham', '6.68']"
10,Stoke,West Ham,2,1,15:00,"Jpl, 15-Mei-16",6,11,1,9,0,0,0,0,17,22,1,0,57,55,307,355,4-2-3-1,4-4-2,"['Haugaard', '6.14', 'Pieters', '6.97', 'Cameron', '6.86', 'Shawcross', '6.81', 'Bardsley', '6.84', 'Whelan', '6.80', 'Imbula', '7.07', 'Arnautovic', '7.05', 'Adam', '6.46', 'Shaqiri', '6.82', 'Crouch', '6.47']","['Randolph', '6.24', 'Cresswell', '6.81', 'Ogbonna', '6.86', 'Reid', '7.18', 'Antonio', '7.35', 'Payet', '7.74', 'Kouyaté', '7.26', 'Noble', '7.15', 'Lanzini', '7.21', 'Sakho', '6.88', 'Carroll', '6.92']"
11,Swansea,Manchester City,1,1,15:00,"Jpl, 15-Mei-16",2,16,2,1,0,1,0,0,16,16,0,1,64,52,436,446,4-3-3,4-2-3-1,"['Nordfeldt', '6.88', 'Kingsley', '7.03', 'Fernández', '6.98', 'Amat', '6.65', 'Naughton', '6.67', 'Sung-Yueng', '6.57', 'Cork', '7.05', 'Fer', '6.85', 'Routledge', '6.38', 'Ayew', '6.98', 'Barrow', '6.46']","['Hart', '6.70', 'Clichy', '7.24', 'Mangala', '6.90', 'Otamendi', '7.47', 'Sagna', '7.12', 'Fernandinho', '7.17', 'Fernando', '6.95', 'Bruyne', '7.45', 'Touré', '7.22', 'Navas', '6.86', 'Agüero', '7.39']"
12,Watford,Sunderland,2,2,15:00,"Jpl, 15-Mei-16",13,5,6,0,0,1,1,0,28,18,3,0,65,84,339,269,4-4-2,4-1-4-1,"['Gomes', '7.07', 'Aké', '7.14', 'Britos', '6.80', 'Prödl', '6.82', 'Anya', '6.50', 'Jurado', '6.76', 'Suárez', '6.38', 'Watson', '6.94', 'Abdi', '6.74', 'Ighalo', '6.95', 'Deeney', '7.28']","['Pickford', '7.02', 'Aanholt', '7.11', 'Kaboul', '7.18', ""O'Shea"", '6.59', 'Jones', '6.75', 'Rodwell', '6.41', 'Lens', '6.72', ""M'Vila"", '7.10', 'Larsson', '6.29', 'Watmore', '6.39', ""N'Doye"", '6.54']"
13,West Bromwich Albion,Liverpool,1,1,15:00,"Jpl, 15-Mei-16",6,6,7,1,0,0,0,0,20,13,0,0,53,56,230,553,4-2-3-1,4-2-3-1,"['Foster', '6.69', 'Evans', '7.2', 'Olsson', '6.61', 'McAuley', '6.95', 'Dawson', '7.02', 'Fletcher', '6.60', 'Yacob', '6.99', 'McClean', '6.83', 'Gardner', '6.54', 'Leko', '6.61', 'Rondón', '6.62']","['Mignolet', '6.52', 'Smith', '6.33', 'Leiva', '7.08', 'Skrtel', '6.93', 'Randall', '6.24', 'Stewart', '6.94', 'Allen', '6.57', 'Ojo', '6.66', 'Brannagan', '6.71', 'Canós', '6.16', 'Benteke', '6.83']"
14,Chelsea,Tottenham,2,2,20:00,"Jtat, 02-Mei-16",7,13,6,3,0,0,0,0,20,20,0,2,62,57,312,356,4-2-3-1,4-2-3-1,"['Begovic', '6.76', 'Rahman', '6.75', 'Terry', '6.55', 'Ivanovic', '6.88', 'Azpilicueta', '7.03', 'Fàbregas', '7.14', 'Mikel', '6.68', 'Hazard', '7.11', 'Willian', '7.20', 'Pedro', '7.03', 'Costa', '7.08']","['Lloris', '6.75', 'Rose', '7.25', 'Vertonghen', '7.06', 'Alderweireld', '7.16', 'Walker', '7.19', 'Mason', '6.39', 'Dier', '7.06', 'Eriksen', '7.45', 'Dembélé', '7.69', 'Lamela', '7.15', 'Kane', '7.53']"
15,Norwich,Manchester United,0,1,12:45,"Jmos, 07-Mei-16",5,10,3,5,0,0,0,0,24,20,0,1,79,78,197,508,4-4-1-1,4-1-4-1,"['Ruddy', '6.44', 'Olsson', '6.48', 'Bassong', '6.75', 'Martin', '6.61', 'Pinto', '6.50', 'Brady', '7.15', 'Howson', '6.77', ""O'Neil"", '6.42', 'Redmond', '6.75', 'Hoolahan', '6.71', 'Mbokani', '6.81']","['Gea', '6.66', 'Darmian', '6.91', 'Blind', '7.14', 'Smalling', '7.17', 'Valencia', '7.05', 'Schneiderlin', '6.92', 'Martial', '7.23', 'Herrera', '6.77', 'Rooney', '7.06', 'Lingard', '6.71', 'Rashford', '6.94']"
16,Sunderland,Chelsea,3,2,15:00,"Jmos, 07-Mei-16",9,7,5,2,0,0,0,0,16,7,0,2,63,62,232,595,4-1-4-1,4-2-3-1,"['Mannone', '6.97', 'Aanholt', '7.11', 'Kaboul', '7.18', 'Koné', '7.27', 'Yedlin', '6.84', 'Kirchhoff', '7.08', 'Khazri', '6.98', ""M'Vila"", '7.10', 'Cattermole', '6.59', 'Borini', '6.70', 'Defoe', '6.79']","['Courtois', '6.66', 'Rahman', '6.75', 'Terry', '6.55', 'Cahill', '6.81', 'Ivanovic', '6.88', 'Matic', '6.98', 'Fàbregas', '7.14', 'Oscar', '6.86', 'Loftus-Cheek', '6.49', 'Pedro', '7.03', 'Costa', '7.08']"
17,West Ham,Swansea,1,4,15:00,"Jmos, 07-Mei-16",17,11,8,1,0,1,0,0,36,20,0,0,61,73,378,346,4-4-2,4-3-3,"['Randolph', '6.24', 'Cresswell', '6.81', 'Ogbonna', '6.86', 'Reid', '7.18', 'Antonio', '7.35', 'Payet', '7.74', 'Kouyaté', '7.26', 'Noble', '7.15', 'Lanzini', '7.21', 'Carroll', '6.92', 'Sakho', '6.88']","['Fabianski', '6.87', 'Naughton', '6.67', 'Fernández', '6.98', 'Amat', '6.65', 'Rangel', '6.89', 'Britton', '6.58', 'Cork', '7.05', 'Fer', '6.85', 'Routledge', '6.38', 'Ayew', '6.98', 'Barrow', '6.46']"
18,Crystal Palace,Stoke,2,1,15:00,"Jmos, 07-Mei-16",13,8,4,4,0,0,0,0,28,12,0,5,74,63,320,231,4-2-3-1,4-2-3-1,"['Hennessey', '6.48', 'Souaré', '6.69', 'Delaney', '6.89', 'Dann', '7.05', 'Ward', '6.94', 'Jedinak', '6.77', 'Cabaye', '7.23', 'Bolasie', '7.14', 'McArthur', '6.85', 'Puncheon', '6.98', 'Wickham', '6.68']","['Haugaard', '6.14', 'Pieters', '6.97', 'Cameron', '6.86', 'Shawcross', '6.81', 'Bardsley', '6.84', 'Whelan', '6.80', 'Imbula', '7.07', 'Arnautovic', '7.05', 'Adam', '6.46', 'Shaqiri', '6.82', 'Crouch', '6.47']"
19,Aston Villa,Newcastle United,0,0,15:00,"Jmos, 07-Mei-16",1,7,1,2,0,0,0,0,13,37,0,1,64,50,348,412,3-5-2,4-2-3-1,"['Bunn', '6.40', 'Clark', '6.87', 'Lescott', '6.75', 'Toner', '6.73', 'Richardson', '6.22', 'Westwood', '6.69', 'Bacuna', '6.63', 'Gueye', '7.25', 'Hutton', '6.45', 'Ayew', '6.88', 'Gestede', '6.83']","['Darlow', '7.08', 'Dummett', '6.89', 'Mbemba', '6.98', 'Lascelles', '6.61', 'Anita', '6.71', 'Colback', '6.90', 'Tioté', '6.87', 'Wijnaldum', '6.91', 'Sissoko', '7.04', 'Townsend', '7.35', 'Cissé', '6.33']"
20,Bournemouth,West Bromwich Albion,1,1,15:00,"Jmos, 07-Mei-16",9,11,3,0,0,0,0,1,19,17,0,0,79,64,499,198,4-4-2,4-4-2,"['Boruc', '6.46', 'Daniels', '6.90', 'Cook', '7.03', 'Elphick', '6.61', 'Francis', '7.16', 'Gradel', '6.71', 'Surman', '6.79', 'Gosling', '6.77', 'Ritchie', '6.77', 'Afobe', '6.44', 'Wilson', '6.53']","['Foster', '6.69', 'Evans', '7.2', 'Olsson', '6.61', 'McAuley', '6.95', 'Dawson', '7.02', 'McClean', '6.83', 'Yacob', '6.99', 'Fletcher', '6.60', 'Leko', '6.61', 'Berahino', '6.33', 'Rondón', '6.62']"
21,Leicester,Everton,3,1,17:30,"Jmos, 07-Mei-16",16,7,14,2,0,0,2,0,30,20,0,2,51,78,291,428,4-4-2,4-2-3-1,"['Schmeichel', '6.78', 'Fuchs', '7.50', 'Wasilewski', '6.74', 'Morgan', '7.07', 'Simpson', '7.13', 'Schlupp', '6.86', 'Kanté', '7.61', 'King', '6.56', 'Mahrez', '7.84', 'Okazaki', '6.61', 'Vardy', '7.51']","['Howard', '6.78', 'Baines', '6.86', 'Pennington', '6.75', 'Stones', '6.85', 'Besic', '6.76', 'Gibson', '6.44', 'McCarthy', '6.88', 'Cleverley', '6.87', 'Barkley', '7.31', 'Lennon', '6.73', 'Lukaku', '7.16']"
